############################################################################
#  This is a blacklist which contains dns name we collected by ourselves.  
#  Last update time is 2018-03-15.                                         
#  The format of this list (split by ' '):                                                
#  domain source type             
############################################################################
stratum_ltc.bw.com local mining
toknowall.com https://blog.talosintelligence.com/2018/05/VPNFilter.html malware
www.ibankupdate.com local c&c
ukcompany.me https://www.anquanke.com/post/id/151580 c&c
ukcompany.pw https://www.anquanke.com/post/id/151580 c&c
ukcompany.top https://www.anquanke.com/post/id/151580 c&c
anyconnect.stream http://www.freebuf.com/news/179902.html c&c
bigip.stream http://www.freebuf.com/news/179902.html c&c
fortiweb.download http://www.freebuf.com/news/179902.html c&c
kaspersky.science http://www.freebuf.com/news/179902.html c&c
microtik.stream http://www.freebuf.com/news/179902.html c&c
owa365.bid http://www.freebuf.com/news/179902.html c&c
symanteclive.download http://www.freebuf.com/news/179902.html c&c
windowsdefender.win http://www.freebuf.com/news/179902.html c&c
soft8.gddos.com local c&c
baidu.gddos.com local c&c
